fecha,muestreo,idplot,zona,x,y,tipoplot,observadores,positiva,heces,huellas,hozadas,suphozadam2,habitat,cobsd,anysign_tot,anysign_yn,hozadas_yn,huellas_yn,heces_yn,id,soiltype_rev
9/8/2022,AGO 22,N39,NORTE,"385384,8125",6470479,PRIMARIA,AT-SM-ER,1,0,9,5,"0,123999997973442",BOSQUE_PASTIZAL,0,14,1,1,1,0,N39,7
29/1/2021,FEB 21,N39,NORTE,"385384,8125",6470479,PRIMARIA,NM - GN - BD - BH - RG,0,0,0,0,0,BOSQUE_PASTIZAL,100,0,0,0,0,0,N39,7
9/2/2022,FEB 22,N39,NORTE,"385384,8125",6470479,PRIMARIA,GN-NP-RD,1,0,1,1,"0,319999992847443",BOSQUE_PASTIZAL,,2,1,1,1,0,N39,
4/2/2020,FEB 20,N39A,NORTE,"385384,8125",6470494,SECUNDARIA,GN-AF-IR,0,0,0,0,0,BOSQUE_PASTIZAL,0,0,0,0,0,0,N39A,5
4/2/2020,FEB 20,N39B,NORTE,"385399,8125",6470479,SECUNDARIA,GN-AF-IR,0,0,0,0,0,SIOSEL_PASTIZAL,5,0,0,0,0,0,N39B,5
4/2/2020,FEB 20,N39C,NORTE,"385384,8125",6470464,SECUNDARIA,AdM-PAF,1,0,0,1,"0,0780000016093254",BOSQUE_PASTIZAL,0,1,1,1,0,0,N39C,5
4/2/2020,FEB 20,N39D,NORTE,"385369,8125",6470479,SECUNDARIA,GN-AF-IR,0,0,0,0,0,BOSQUE_PASTIZAL,0,0,0,0,0,0,N39D,5
4/2/2020,FEB 20,N39E,NORTE,"385399,8125",6470464,SECUNDARIA,AdM-PAF-GN-AF-IR,0,0,0,0,0,BOSQUE_PASTIZAL,10,0,0,0,0,0,N39E,5
4/2/2020,FEB 20,N39F,NORTE,"385384,8125",6470449,SECUNDARIA,AdM-PAF,0,0,0,0,0,BOSQUE_PASTIZAL,0,0,0,0,0,0,N39F,5
4/2/2020,FEB 20,N39G,NORTE,"385369,8125",6470464,SECUNDARIA,GN-AF-IR,0,0,0,0,0,BOSQUE_PASTIZAL,0,0,0,0,0,0,N39G,5
1/8/2021,AGO 21,N40,NORTE,"385789,8125",6470209,PRIMARIA,AdM-AT-CS,1,0,2,0,0,BOSQUE_SUELODESNUDO,10,2,1,0,1,0,N40,3
4/2/2020,FEB 20,N40,NORTE,"385789,8125",6470209,PRIMARIA,AdM-PAF,0,0,0,0,0,BOSQUE_SUELODESNUDO,30,0,0,0,0,0,N40,3
9/2/2022,FEB 22,N40,NORTE,"385789,8125",6470209,PRIMARIA,MP-AF-AdM,0,0,0,0,0,BOSQUE_SUELODESNUDO,15,0,0,0,0,0,N40,7
29/1/2021,FEB 21,N40,NORTE,"385789,8125",6470209,PRIMARIA,NM - GN - BD - BH,1,1,0,0,0,BOSQUE_SUELODESNUDO,80,1,1,0,0,1,N40,7
9/8/2022,AGO 22,N40,NORTE,"385789,8125",6470209,PRIMARIA,AdM-GC,1,1,1,1,"0,068000003695488",BOSQUE_SUELODESNUDO,10,3,1,1,1,1,N40,7
4/8/2021,AGO 21,P01,NORTE,377359,6473238,EXTRA,GN-CS-NM,0,0,0,0,0,SIOSEL_PAJONAL,10,0,0,0,0,0,P01,3
